,ID,rank2018,team2018,batting_average2018,numOfGames2018,plate_appearances2018,atbat2018,hits2018,HRｓ2018,RBI2018,steal2018,walks2018,deadball2018,strike_out2018,sacrifice_bunt2018,double_play2018,On_base_percentage2018,Slugging_percentage2018,OPS2018,RC272018,XR272018,rank2017,team2017,batting_average2017,numOfGames2017,plate_appearances2017,atbat2017,hits2017,HRｓ2017,RBI2017,steal2017,walks2017,deadball2017,strike_out2017,sacrifice_bunt2017,double_play2017,On_base_percentage2017,Slugging_percentage2017,OPS2017,RC272017,XR272017,rank2016,team2016,batting_average2016,numOfGames2016,plate_appearances2016,atbat2016,hits2016,HRｓ2016,RBI2016,steal2016,walks2016,deadball2016,strike_out2016,sacrifice_bunt2016,double_play2016,On_base_percentage2016,Slugging_percentage2016,OPS2016,RC272016,XR272016,rank2015,team2015,batting_average2015,numOfGames2015,plate_appearances2015,atbat2015,hits2015,HRｓ2015,RBI2015,steal2015,walks2015,deadball2015,strike_out2015,sacrifice_bunt2015,double_play2015,On_base_percentage2015,Slugging_percentage2015,OPS2015,RC272015,XR272015,rank2014,team2014,batting_average2014,numOfGames2014,plate_appearances2014,atbat2014,hits2014,HRｓ2014,RBI2014,steal2014,walks2014,deadball2014,strike_out2014,sacrifice_bunt2014,double_play2014,On_base_percentage2014,Slugging_percentage2014,OPS2014,RC272014,XR272014,player_name
308,308,178.0,DeNA,0.219,113.0,265.0,224.0,49.0,3.0,13.0,2.0,30.0,5.0,45.0,6.0,3.0,0.324,0.28600000000000003,0.61,3.36,3.42,157.0,DeNA,0.233,88.0,248.0,215.0,50.0,1.0,11.0,1.0,17.0,3.0,50.0,11.0,2.0,0.295,0.284,0.579,2.83,2.92,210.0,DeNA,0.205,19.0,46.0,39.0,8.0,0.0,2.0,1.0,5.0,0.0,8.0,2.0,1.0,0.295,0.256,0.552,2.52,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,柴田 竜拓
309,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,Softbank,0.175,93.0,192.0,171.0,30.0,1.0,16.0,0.0,13.0,0.0,31.0,8.0,2.0,0.234,0.24,0.473,1.41,1.52,312.0,Softbank,0.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,高谷 裕亮
310,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,Giants,0.174,52.0,77.0,69.0,12.0,0.0,1.0,2.0,2.0,1.0,22.0,5.0,1.0,0.208,0.217,0.426,1.04,1.14,274.0,Giants,0.147,44.0,37.0,34.0,5.0,0.0,0.0,3.0,2.0,0.0,10.0,1.0,0.0,0.194,0.17600000000000002,0.371,1.01,1.16,81.0,Giants,0.275,75.0,90.0,80.0,22.0,0.0,3.0,3.0,4.0,2.0,12.0,4.0,0.0,0.326,0.28800000000000003,0.613,3.63,3.57,松本 哲也
311,311,178.0,Carp,0.219,63.0,132.0,114.0,25.0,4.0,24.0,0.0,14.0,0.0,26.0,0.0,4.0,0.295,0.368,0.664,3.45,3.87,37.0,Carp,0.292,100.0,288.0,243.0,71.0,9.0,48.0,2.0,40.0,1.0,56.0,0.0,7.0,0.389,0.461,0.85,6.55,6.54,31.0,Carp,0.3,132.0,513.0,454.0,136.0,19.0,101.0,0.0,54.0,1.0,101.0,0.0,12.0,0.3720000000000001,0.485,0.857,6.39,6.28,66.0,Carp,0.275,125.0,480.0,426.0,117.0,7.0,57.0,3.0,48.0,2.0,73.0,0.0,15.0,0.348,0.385,0.733,4.66,4.61,171.0,Tigers,0.244,94.0,194.0,176.0,43.0,3.0,31.0,0.0,15.0,2.0,33.0,0.0,6.0,0.309,0.33,0.639,3.29,3.31,新井 貴浩
312,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,Tigers,0.255,139.0,554.0,498.0,127.0,22.0,79.0,2.0,48.0,5.0,130.0,0.0,13.0,0.325,0.428,0.753,4.71,4.75,78.0,Tigers,0.271,143.0,601.0,520.0,141.0,17.0,72.0,0.0,72.0,6.0,134.0,0.0,15.0,0.364,0.423,0.787,5.42,5.37,,,,,,,,,,,,,,,,,,,,,ゴメス
313,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,Rakuten,0.313,9.0,37.0,32.0,10.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,1.0,0.405,0.344,0.7490000000000001,6.02,5.76,,,,,,,,,,,,,,,,,,,,,ムリーロ
314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,Orix,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.12,1.08,298.0,Orix,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.83,-2.54,279.0,Orix,0.14300000000000002,5.0,16.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.14300000000000002,0.14300000000000002,0.28600000000000003,-0.18,-0.04,堤 裕貴
315,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,Doragons,0.105,16.0,22.0,19.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.19,0.211,0.401,0.82,0.9,中田 亮二
316,316,141.0,Carp,0.236,72.0,252.0,220.0,52.0,4.0,24.0,7.0,21.0,2.0,60.0,7.0,1.0,0.306,0.377,0.6829999999999999,4.22,4.21,22.0,Carp,0.31,123.0,455.0,413.0,128.0,4.0,49.0,17.0,27.0,2.0,94.0,12.0,3.0,0.354,0.4,0.754,5.38,5.14,59.0,Carp,0.282,115.0,292.0,259.0,73.0,6.0,33.0,7.0,19.0,1.0,64.0,7.0,3.0,0.327,0.429,0.7559999999999999,5.18,5.18,139.0,Carp,0.243,26.0,74.0,70.0,17.0,0.0,2.0,1.0,1.0,0.0,6.0,3.0,1.0,0.254,0.243,0.496,1.46,1.51,9.0,Carp,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,安部 友裕
317,317,,,,,,,,,,,,,,,,,,,,,1.0,Softbank,0.5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,12.3,11.07,167.0,Softbank,0.231,13.0,31.0,26.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,0.222,0.269,0.491,1.74,2.04,263.0,Softbank,0.16699999999999998,11.0,9.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.444,0.16699999999999998,0.611,1.07,1.43,,,,,,,,,,,,,,,,,,,,,斐紹
