ID,rank2018,player_name2018,team2018,batting_average2018,numOfGames2018,plate_appearances2018,atbat2018,hits2018,HRｓ2018,RBI2018,盗塁2018,walks2018,deadball2018,strike_out2018,sacrifice_bunt2018,double_play2018,On_base_percentage2018,Slugging_percentage2018,OPS2018,RC272018,XR272018,rank2017,player_name2017,team2017,batting_average2017,numOfGames2017,plate_appearances2017,atbat2017,hits2017,HRｓ2017,RBI2017,盗塁2017,walks2017,deadball2017,strike_out2017,sacrifice_bunt2017,double_play2017,On_base_percentage2017,Slugging_percentage2017,OPS2017,RC272017,XR272017,rank2016,player_name2016,team2016,batting_average2016,numOfGames2016,plate_appearances2016,atbat2016,hits2016,HRｓ2016,RBI2016,盗塁2016,walks2016,deadball2016,strike_out2016,sacrifice_bunt2016,double_play2016,On_base_percentage2016,Slugging_percentage2016,OPS2016,RC272016,XR272016,rank2015,player_name2015,team2015,batting_average2015,numOfGames2015,plate_appearances2015,atbat2015,hits2015,HRｓ2015,RBI2015,盗塁2015,walks2015,deadball2015,strike_out2015,sacrifice_bunt2015,double_play2015,On_base_percentage2015,Slugging_percentage2015,OPS2015,RC272015,XR272015,rank2014,player_name2014,team2014,batting_average2014,numOfGames2014,plate_appearances2014,atbat2014,hits2014,HRｓ2014,RBI2014,盗塁2014,walks2014,deadball2014,strike_out2014,sacrifice_bunt2014,double_play2014,On_base_percentage2014,Slugging_percentage2014,OPS2014,RC272014,XR272014
324,290.0,谷　哲也,中日,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.70,-2.43,179.0,谷　哲也,中日,0.217,53.0,100.0,92.0,20.0,2.0,11.0,0.0,5.0,0.0,23.0,2.0,0.0,0.255,0.315,0.57,2.54,2.74,207.0,谷　哲也,中日,0.207,52.0,91.0,82.0,17.0,0.0,6.0,1.0,8.0,0.0,16.0,1.0,4.0,0.278,0.23199999999999998,0.509,1.64,1.70,298.0,谷　哲也,中日,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.70,-2.43,184.0,谷　哲也,中日,0.237,59.0,131.0,118.0,28.0,0.0,10.0,0.0,6.0,0.0,23.0,6.0,0.0,0.272,0.364,0.636,3.28,3.15
325,,,,,,,,,,,,,,,,,,,,,,255.0,相川　亮二,巨人,0.158,29.0,40.0,38.0,6.0,0.0,3.0,0.0,1.0,0.0,9.0,0.0,1.0,0.175,0.184,0.359,0.1,0.48,145.0,相川　亮二,巨人,0.244,37.0,48.0,41.0,10.0,0.0,4.0,0.0,6.0,0.0,10.0,0.0,0.0,0.33299999999999996,0.293,0.626,3.98,4.13,18.0,相川　亮二,巨人,0.313,40.0,114.0,99.0,31.0,4.0,17.0,1.0,12.0,0.0,16.0,2.0,1.0,0.384,0.505,0.889,7.30,7.16,142.0,相川　亮二,ヤクルト,0.25,58.0,207.0,192.0,48.0,2.0,21.0,0.0,9.0,2.0,31.0,2.0,5.0,0.28800000000000003,0.32299999999999995,0.611,2.97,3.01
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,高橋　大樹,広島,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.52
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,石川　貢,西武,0.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.091,0.0,0.091,-2.57,-2.21
328,145.0,宗　佑磨,オリックス,0.233,74.0,289.0,266.0,62.0,5.0,22.0,3.0,15.0,3.0,53.0,4.0,1.0,0.281,0.37200000000000005,0.653,3.61,3.59,235.0,宗　佑磨,オリックス,0.182,10.0,26.0,22.0,4.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0,0.308,0.22699999999999998,0.535,0.49,0.71,299.0,宗　佑磨,オリックス,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.86,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,257.0,岩本　貴裕,広島,0.14300000000000002,10.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.25,0.14300000000000002,0.39299999999999996,-0.50,-0.35,8.0,岩本　貴裕,広島,0.375,33.0,50.0,48.0,18.0,1.0,13.0,0.0,1.0,0.0,15.0,1.0,2.0,0.38799999999999996,0.521,0.909,6.86,6.25,10.0,岩本　貴裕,広島,0.33299999999999996,27.0,22.0,21.0,7.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.364,0.524,0.887,7.43,6.75,25.0,岩本　貴裕,広島,0.3,7.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.4,0.7,4.59,4.17,250.0,岩本　貴裕,広島,0.192,39.0,55.0,52.0,10.0,2.0,10.0,0.0,2.0,0.0,10.0,0.0,3.0,0.218,0.34600000000000003,0.564,1.67,2.05
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,バルディリス,DeNA,0.258,139.0,525.0,465.0,120.0,13.0,56.0,0.0,43.0,12.0,62.0,0.0,12.0,0.33299999999999996,0.391,0.725,4.56,4.60,134.0,バルディリス,DeNA,0.255,139.0,510.0,451.0,115.0,17.0,52.0,0.0,43.0,11.0,66.0,0.0,20.0,0.331,0.43700000000000006,0.768,4.60,4.62
331,204.0,乙坂　智,DeNA,0.204,73.0,109.0,93.0,19.0,0.0,7.0,3.0,12.0,0.0,22.0,2.0,0.0,0.29,0.226,0.516,2.18,2.50,227.0,乙坂　智,DeNA,0.19,83.0,66.0,63.0,12.0,2.0,3.0,0.0,1.0,1.0,13.0,1.0,0.0,0.215,0.33299999999999996,0.5489999999999999,2.26,2.37,81.0,乙坂　智,DeNA,0.27,55.0,124.0,115.0,31.0,1.0,8.0,3.0,7.0,1.0,28.0,1.0,2.0,0.317,0.374,0.691,4.32,4.10,179.0,乙坂　智,DeNA,0.226,52.0,138.0,124.0,28.0,3.0,10.0,2.0,9.0,0.0,25.0,4.0,0.0,0.276,0.33899999999999997,0.615,2.99,3.19,3.0,乙坂　智,DeNA,0.5,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,38.40,36.45
332,98.0,桑原　将志,DeNA,0.261,127.0,421.0,379.0,99.0,9.0,26.0,17.0,32.0,3.0,71.0,7.0,3.0,0.324,0.42200000000000004,0.746,5.08,4.91,71.0,桑原　将志,DeNA,0.26899999999999996,143.0,664.0,598.0,161.0,13.0,52.0,10.0,45.0,11.0,116.0,10.0,8.0,0.332,0.415,0.747,4.68,4.54,56.0,桑原　将志,DeNA,0.284,133.0,522.0,462.0,131.0,11.0,49.0,19.0,38.0,14.0,93.0,8.0,5.0,0.35600000000000004,0.413,0.769,5.28,5.13,244.0,桑原　将志,DeNA,0.184,60.0,116.0,103.0,19.0,1.0,5.0,1.0,5.0,0.0,26.0,8.0,1.0,0.222,0.272,0.494,1.53,1.61,126.0,桑原　将志,DeNA,0.257,53.0,169.0,144.0,37.0,1.0,13.0,4.0,15.0,2.0,32.0,8.0,5.0,0.335,0.354,0.69,3.88,3.75
333,,,,,,,,,,,,,,,,,,,,,,289.0,杉山　翔大,中日,0.091,39.0,83.0,66.0,6.0,0.0,1.0,0.0,9.0,2.0,16.0,5.0,1.0,0.218,0.091,0.309,0.15,0.53,98.0,杉山　翔大,中日,0.26,104.0,311.0,269.0,70.0,3.0,27.0,1.0,30.0,3.0,60.0,8.0,8.0,0.34,0.35700000000000004,0.6970000000000001,4.01,3.95,245.0,杉山　翔大,中日,0.183,64.0,161.0,153.0,28.0,3.0,17.0,1.0,3.0,2.0,33.0,3.0,3.0,0.209,0.261,0.47,1.18,1.32,,,,,,,,,,,,,,,,,,,,,
